"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\data\datasource\movie.remote.datasource.dart", "Dart", 54, 3, 8, 65
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\data\models\movie.model.dart", "Dart", 21, 0, 3, 24
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\data\repository\movie.repository.dart", "Dart", 37, 0, 5, 42
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\domain\entites\movie.dart", "Dart", 28, 0, 4, 32
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\domain\repository\base.movies.repository.dart", "Dart", 8, 0, 2, 10
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\domain\usecases\get.now.playing.dart", "Dart", 11, 0, 3, 14
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\domain\usecases\get.popular.movies.dart", "Dart", 11, 0, 3, 14
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\domain\usecases\get.top.rated.movies.dart", "Dart", 11, 0, 3, 14
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\presentation\components\now.playing.component.dart", "Dart", 123, 2, 3, 128
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\presentation\components\popular.movies.component.dart", "Dart", 63, 1, 3, 67
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\presentation\components\toprated.movies.component.dart", "Dart", 62, 1, 3, 66
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\presentation\controller\movies.bloc.dart", "Dart", 69, 3, 6, 78
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\presentation\controller\movies.event.dart", "Dart", 9, 0, 6, 15
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\presentation\controller\movies.state.dart", "Dart", 59, 0, 7, 66
"c:\Users\meemc\Documents\GitHub\movies_app\lib\movies\presentation\screens\movies.screen.dart", "Dart", 125, 2, 3, 130
"Total", "-", 691, 12, 62, 765
